Skecos6	K06685
Skecos1531	K11099
Skecos1535	K04345
Skecos1536	K03066
Skecos1549	K06207
Skecos1551	K02134
Skecos1556	K12864
Skecos1558	K09839
Skecos1602	K11754
Skecos1605	K00387
Skecos1607	K11294
Skecos1624	K01166
Skecos1635	K09142
Skecos1645	K02995
Skecos1649	K15109
Skecos1650	K14966
Skecos1663	K06067
Skecos1678	K08832
Skecos1684	K03005
Skecos1691	K00939
Skecos1695	K00543
Skecos1697	K07300
Skecos1699	K10295
Skecos1700	K11434
Skecos1706	K00927
Skecos1707	K16575
Skecos1712	K17609
Skecos1713	K14544
Skecos1725	K07568
Skecos1727	K02221
Skecos1728	K12591
Skecos1732	K01807
Skecos1742	K09496
Skecos1744	K01770
Skecos1757	K13280
Skecos1763	K12657
Skecos1764	K15455
Skecos1770	K06269
Skecos1771	K00655
Skecos1782	K03163
Skecos1785	K13917
Skecos1786	K10256
Skecos1796	K09838
Skecos1815	K15272
Skecos1816	K00600
Skecos1827	K00814
Skecos1831	K15283
Skecos1833	K15414
Skecos1846	K11295
Skecos1848	K17279
Skecos1856	K00991
Skecos1860	K11293
Skecos1861	K00059
Skecos1881	K03237
Skecos1884	K01354
Skecos1894	K13535
Skecos1911	K03955
Skecos1919	K17805
Skecos1920	K03320
Skecos1934	K02087
Skecos1937	K14807
Skecos1950	K02957
Skecos1953	K07556
Skecos1958	K14299
Skecos1962	K03247
Skecos1963	K07393
Skecos1974	K00472
Skecos1976	K09602
Skecos1979	K08851
Skecos1984	K14769
Skecos1993	K02342
Skecos1996	K15382
Skecos2000	K12826
Skecos2009	K14780
Skecos2011	K00789
Skecos2013	K02738
Skecos2028	K03029
Skecos2029	K00962
Skecos2031	K15424
Skecos2034	K13628
Skecos2035	K05868
Skecos2038	K10704
Skecos2040	K05868
Skecos2054	K10884
Skecos2057	K08341
Skecos2089	K17339
Skecos2100	K15424
Skecos2105	K02920
Skecos2114	K04523
Skecos2130	K01755
Skecos2153	K02973
Skecos2156	K07375
Skecos2163	K10844
Skecos2169	K09313
Skecos2187	K01126
Skecos2189	K14297
Skecos2199	K00797
Skecos2230	K14548
Skecos2232	K00766
Skecos2240	K06119
Skecos2244	K03236
Skecos2246	K04575
Skecos2254	K17822
Skecos2264	K03252
Skecos2275	K01874
Skecos2287	K02732
Skecos2292	K01358
Skecos2294	K03754
Skecos2298	K02267
Skecos2300	K02503
Skecos2301	K03626
Skecos2302	K01792
Skecos2306	K00928
Skecos2315	K00604
Skecos2318	K00022
Skecos2322	K10257
Skecos2327	K00856
Skecos2334	K02998
Skecos2335	K03522
Skecos2347	K03113
Skecos2356	K00225
Skecos2358	K13238
Skecos2369	K03007
Skecos2370	K12403
Skecos2374	K06118
Skecos2381	K10808
Skecos2384	K12183
Skecos2388	K08057
Skecos2391	K08907
Skecos2396	K01834
Skecos2399	K01493
Skecos2400	K02977
Skecos2406	K00289
Skecos2428	K11135
Skecos2429	K12197
Skecos2437	K03364
Skecos2447	K03963
Skecos2449	K12160
Skecos2450	K11434
Skecos2451	K01379
Skecos2469	K12244
Skecos2472	K09578
Skecos2481	K05928
Skecos2502	K11094
Skecos2505	K02260
Skecos2506	K12581
Skecos2510	K07897
Skecos2513	K04507
Skecos2516	K09420
Skecos2518	K17601
Skecos2525	K00859
Skecos2535	K07299
Skecos2546	K15272
Skecos2550	K15732
Skecos2553	K11434
Skecos2554	K14815
Skecos2571	K06889
Skecos2578	K00927
Skecos2598	K17500
Skecos2599	K01952
Skecos2602	K09611
Skecos2605	K02873
Skecos2614	K14589
Skecos2620	K00967
Skecos2622	K11793
Skecos2629	K09925
Skecos2630	K03031
Skecos2637	K14408
Skecos2652	K00972
Skecos2655	K12736
Skecos2656	K05955
Skecos2657	K08311
Skecos2668	K01303
Skecos2672	K02997
Skecos2676	K02716
Skecos2685	K11308
Skecos2693	K17794
Skecos2699	K02955
Skecos2704	K02942
Skecos2713	K14566
Skecos2714	K02978
Skecos2722	K11808
Skecos2728	K03006
Skecos2730	K08770
Skecos2736	K00817
Skecos2743	K03246
Skecos2751	K03456
Skecos2754	K08902
Skecos2755	K01889
Skecos2756	K13238
Skecos2758	K02929
Skecos2763	K12191
Skecos2765	K03264
Skecos2766	K07342
Skecos2771	K00284
Skecos2779	K00721
Skecos2783	K09539
Skecos2784	K14840
Skecos2786	K03969
Skecos2789	K08568
Skecos2792	K17768
Skecos2793	K03885
Skecos2821	K12813
Skecos2823	K03011
Skecos2841	K00895
Skecos2843	K04798
Skecos2851	K03921
Skecos2868	K14545
Skecos2871	K13783
Skecos2874	K03009
Skecos2876	K02518
Skecos2888	K03911
Skecos2891	K14800
Skecos2894	K07562
Skecos2904	K14007
Skecos2937	K15102
Skecos2942	K08681
Skecos2943	K01586
Skecos2944	K03940
Skecos2945	K17686
Skecos2950	K03097
Skecos2952	K03676
Skecos2955	K00940
Skecos2965	K05527
Skecos2972	K01517
Skecos2977	K13628
Skecos2981	K15277
Skecos2990	K12606
Skecos2991	K08568
Skecos2993	K12619
Skecos3006	K17255
Skecos3020	K00658
Skecos3023	K14683
Skecos3027	K14809
Skecos3041	K05917
Skecos3044	K12195
Skecos3054	K06961
Skecos3059	K02641
Skecos3066	K02921
Skecos3068	K12857
Skecos3105	K12393
Skecos3110	K03152
Skecos3111	K12373
Skecos3117	K01358
Skecos3118	K02641
Skecos3119	K15263
Skecos3125	K10579
Skecos3134	K14309
Skecos3136	K14824
Skecos3137	K03687
Skecos3139	K14769
Skecos3141	K02942
Skecos3149	K01899
Skecos3150	K11097
Skecos3152	K14015
Skecos3154	K03783
Skecos3156	K07178
Skecos3168	K03671
Skecos3169	K02728
Skecos3174	K11088
Skecos3187	K00819
Skecos3191	K12396
Skecos3192	K01101
Skecos3193	K14298
Skecos3195	K06063
Skecos3210	K02726
Skecos3222	K03012
Skecos3224	K12381
Skecos3226	K03773
Skecos3227	K08794
Skecos3230	K14863
Skecos3235	K01966
Skecos3250	K03113
Skecos3253	K11279
Skecos3256	K02929
Skecos3259	K03667
Skecos3262	K07507
Skecos3291	K12524
Skecos3292	K17086
Skecos3297	K14538
Skecos3300	K14549
Skecos3303	K01437
Skecos3305	K08735
Skecos3306	K14565
Skecos3326	K07753
Skecos3333	K02209
Skecos3344	K01507
Skecos3352	K11098
Skecos3355	K07179
Skecos3359	K15276
Skecos3362	K03595
Skecos3371	K12402
Skecos3373	K08486
Skecos3385	K00670
Skecos3396	K03704
Skecos3411	K03217
Skecos3422	K01783
Skecos3423	K07195
Skecos3436	K08342
Skecos3439	K10704
Skecos3440	K09966
Skecos3443	K12867
Skecos3450	K01243
Skecos3453	K02899
Skecos3469	K03364
Skecos3470	K01090
Skecos3472	K17732
Skecos3474	K16911
Skecos3477	K14832
Skecos3483	K11108
Skecos3493	K02155
Skecos3499	K02728
Skecos3501	K10742
Skecos3502	K10733
Skecos3504	K06942
Skecos3513	K00472
Skecos3516	K16365
Skecos3521	K13347
Skecos3531	K01175
Skecos3538	K10873
Skecos3539	K12830
Skecos3545	K02725
Skecos3547	K06672
Skecos3554	K12618
Skecos3555	K02923
Skecos3562	K03531
Skecos3567	K09490
Skecos3585	K02937
Skecos3586	K03131
Skecos3591	K02719
Skecos3593	K00645
Skecos3598	K01495
Skecos3602	K02996
Skecos3607	K02943
Skecos3608	K11644
Skecos3620	K15449
Skecos3623	K06133
Skecos3625	K04563
Skecos3629	K14319
Skecos3631	K07573
Skecos3632	K01814
Skecos3648	K12832
Skecos3653	K13100
Skecos3654	K13095
Skecos3658	K00648
Skecos3661	K07874
Skecos3664	K00021
Skecos3670	K00006
Skecos3671	K11088
Skecos3691	K17795
Skecos3700	K14521
Skecos3709	K17616
Skecos3713	K15452
Skecos3726	K01886
Skecos3731	K13237
Skecos3736	K00289
Skecos3741	K03251
Skecos3746	K14544
Skecos3748	K06171
Skecos3750	K03283
Skecos3752	K09843
Skecos3760	K01869
Skecos3761	K04498
Skecos3765	K03665
Skecos3766	K03248
Skecos3768	K11275
Skecos3769	K01807
Skecos3773	K14962
Skecos3777	K12848
Skecos3780	K17969
Skecos3784	K13116
Skecos3786	K12275
Skecos3791	K15014
Skecos3801	K18192
Skecos3806	K01892
Skecos3809	K12946
Skecos3823	K09565
Skecos3835	K01507
Skecos3847	K02703
Skecos3850	K08869
Skecos3854	K14004
Skecos3860	K10862
Skecos3871	K06620
Skecos3873	K02871
Skecos3877	K05389
Skecos3884	K14964
Skecos3892	K17497
Skecos3921	K02971
Skecos3943	K14050
Skecos3953	K00773
Skecos3958	K08596
Skecos3989	K03217
Skecos3994	K02969
Skecos3997	K15172
Skecos4001	K01711
Skecos4009	K02876
Skecos4015	K03846
Skecos4017	K14791
Skecos4031	K00640
Skecos4061	K00454
Skecos4067	K01012
Skecos4076	K03678
Skecos4078	K10365
Skecos4080	K04345
Skecos4083	K08956
Skecos4084	K11262
Skecos4089	K00940
Skecos4114	K07023
Skecos4115	K08343
Skecos4129	K02326
Skecos4132	K13120
Skecos4133	K14842
Skecos4135	K01887
Skecos4137	K02372
Skecos4164	K14805
Skecos4173	K17662
Skecos4177	K01834
Skecos4185	K14820
Skecos4188	K14416
Skecos4196	K13171
Skecos4201	K03125
Skecos4208	K03238
Skecos4212	K14810
Skecos4225	K10047
Skecos4240	K11754
Skecos4248	K00784
Skecos4249	K03681
Skecos4258	K00891
Skecos4259	K00873
Skecos4275	K12418
Skecos4283	K02918
Skecos4284	K12873
Skecos4300	K06944
Skecos4310	K00441
Skecos4315	K01011
Skecos4337	K11839
Skecos4339	K03453
Skecos4340	K04607
Skecos4342	K05290
Skecos4343	K03240
Skecos4349	K00232
Skecos4363	K15687
Skecos4364	K01893
Skecos4366	K08876
Skecos4368	K06100
Skecos4395	K00599
Skecos4398	K02480
Skecos4403	K00208
Skecos4406	K09872
Skecos4407	K00134
Skecos4410	K05289
Skecos4429	K13121
Skecos4434	K04505
Skecos4436	K11145
Skecos4455	K09415
Skecos4464	K02993
Skecos4469	K02987
Skecos4472	K15634
Skecos4480	K06158
Skecos4481	K14347
Skecos4493	K00423
Skecos4495	K09568
Skecos4496	K02132
Skecos4508	K00606
Skecos4534	K13348
Skecos4535	K11251
Skecos4540	K12847
Skecos4547	K02136
Skecos4548	K03715
Skecos4550	K11806
Skecos4555	K00671
Skecos4569	K00784
Skecos4576	K04078
Skecos4594	K08065
Skecos4609	K14785
Skecos4612	K11087
Skecos4617	K03139
Skecos4638	K09522
Skecos4655	K08790
Skecos4656	K06130
Skecos4668	K01647
Skecos4671	K01885
Skecos4678	K10206
Skecos4698	K01783
Skecos4706	K08994
Skecos4707	K02838
Skecos4709	K00451
Skecos4710	K02876
Skecos4716	K15040
Skecos4719	K03885
Skecos4723	K08794
Skecos4724	K15382
Skecos4729	K14569
Skecos4731	K00627
Skecos4732	K07560
Skecos4739	K00459
Skecos4764	K14455
Skecos4768	K01784
Skecos4769	K02259
Skecos4779	K02056
Skecos4788	K06287
Skecos4813	K03163
Skecos4814	K15181
Skecos4818	K08959
Skecos4824	K03453
Skecos4843	K16671
Skecos4866	K02324
Skecos4877	K13119
Skecos4884	K08916
Skecos4891	K15664
Skecos4911	K14572
Skecos4921	K12840
Skecos4925	K04802
Skecos4934	K12857
Skecos4935	K02893
Skecos4953	K06630
Skecos4962	K02989
Skecos4963	K00655
Skecos4966	K11253
Skecos4967	K09523
Skecos4969	K14823
Skecos4970	K02714
Skecos4976	K12604
Skecos4977	K14772
Skecos4979	K03671
Skecos4984	K12587
Skecos4988	K03695
Skecos5004	K03801
Skecos5007	K14617
Skecos5024	K14399
Skecos5032	K12624
Skecos5048	K11251
Skecos5053	K03664
Skecos5057	K11096
Skecos5061	K01807
Skecos5062	K13210
Skecos5073	K06027
Skecos5082	K17900
Skecos5090	K00627
Skecos5108	K14327
Skecos5112	K09291
Skecos5115	K12403
Skecos5120	K13094
Skecos5123	K15507
Skecos5127	K12625
Skecos5139	K09660
Skecos5142	K00789
Skecos5145	K01590
Skecos5147	K01897
Skecos5148	K08360
Skecos5149	K00121
Skecos5165	K01689
Skecos5166	K08679
Skecos5169	K13830
Skecos5185	K12812
Skecos5188	K12198
Skecos5218	K02358
Skecos5219	K14771
Skecos5220	K07874
Skecos5244	K14806
Skecos5250	K01069
Skecos5251	K03258
Skecos5301	K03008
Skecos5313	K10807
Skecos5326	K14859
Skecos5339	K10956
Skecos5370	K14005
Skecos5383	K03509
Skecos5387	K14570
Skecos5390	K07300
Skecos5400	K00930
Skecos5409	K15430
Skecos5418	K00873
Skecos5422	K02960
Skecos5435	K14554
Skecos5446	K04482
Skecos5448	K16465
Skecos5451	K07390
Skecos5452	K02736
Skecos5459	K17780
Skecos5461	K11128
Skecos5462	K03242
Skecos5463	K04078
Skecos5471	K07374
Skecos5472	K17427
Skecos5477	K01358
Skecos5479	K02291
Skecos5491	K03141
Skecos5493	K09540
Skecos5495	K07151
Skecos5496	K00384
Skecos5515	K00944
Skecos5517	K06685
Skecos5519	K03063
Skecos5536	K02480
Skecos5542	K01265
Skecos5546	K09966
Skecos5549	K02943
Skecos5558	K01735
Skecos5559	K12598
Skecos5571	K11416
Skecos5579	K12606
Skecos5588	K13338
Skecos5597	K14455
Skecos5599	K18041
Skecos5605	K01649
Skecos5624	K09657
Skecos5634	K12180
Skecos5641	K01624
Skecos5644	K00166
Skecos5659	K01581
Skecos5672	K08596
Skecos5685	K03107
Skecos5686	K01920
Skecos5698	K15176
Skecos5713	K01828
Skecos5722	K11835
Skecos5724	K02355
Skecos5725	K03178
Skecos5727	K00939
Skecos5729	K08592
Skecos5741	K04082
Skecos5752	K01950
Skecos5763	K03773
Skecos5766	K09650
Skecos5767	K01703
Skecos5769	K15275
Skecos5773	K17491
Skecos5778	K05544
Skecos5779	K00627
Skecos5780	K12580
Skecos5781	K12795
Skecos5786	K14838
Skecos5797	K00972
Skecos5806	K10844
Skecos5814	K17584
Skecos5834	K14556
Skecos5835	K09531
Skecos5837	K00873
Skecos5843	K02480
Skecos5854	K03039
Skecos5857	K04079
Skecos5862	K01581
Skecos5866	K02863
Skecos5869	K11252
Skecos5870	K12856
Skecos5876	K11092
Skecos5878	K07893
Skecos5884	K14861
Skecos5887	K12618
Skecos5890	K02979
Skecos5899	K00559
Skecos5913	K14794
Skecos5920	K02885
Skecos5922	K17790
Skecos5930	K03094
Skecos5938	K14837
Skecos5940	K07901
Skecos5943	K01876
Skecos5948	K02908
Skecos5951	K13076
Skecos5952	K10573
Skecos5969	K07904
Skecos5972	K00162
Skecos5974	K02876
Skecos5984	K01437
Skecos5986	K05034
Skecos5997	K00861
Skecos5999	K01265
Skecos6004	K03514
Skecos6005	K02541
Skecos6006	K00801
Skecos6007	K17583
Skecos6008	K06997
Skecos6024	K16536
Skecos6035	K03932
Skecos6043	K03885
Skecos6045	K13525
Skecos6048	K00942
Skecos6061	K06185
Skecos6066	K14396
Skecos6070	K09494
Skecos6073	K00670
Skecos6083	K12843
Skecos6092	K03254
Skecos6094	K08678
Skecos6101	K04797
Skecos6104	K08818
Skecos6126	K14846
Skecos6127	K02896
Skecos6133	K02155
Skecos6138	K01312
Skecos6154	K01599
Skecos6157	K01736
Skecos6159	K12620
Skecos6160	K12573
Skecos6173	K03110
Skecos6185	K12373
Skecos6187	K18156
Skecos6188	K03671
Skecos6194	K01802
Skecos6198	K04077
Skecos6202	K00357
Skecos6204	K12898
Skecos6224	K11251
Skecos6229	K01834
Skecos6231	K13347
Skecos6235	K01951
Skecos6241	K07240
Skecos6266	K17261
Skecos6267	K02469
Skecos6268	K09838
Skecos6271	K10756
Skecos6273	K13289
Skecos6275	K02912
Skecos6276	K12626
Skecos6277	K02639
Skecos6278	K00134
Skecos6279	K03231
Skecos6283	K00859
Skecos6290	K08819
Skecos6300	K13179
Skecos6309	K00873
Skecos6315	K01624
Skecos6318	K12194
Skecos6324	K09250
Skecos6326	K04498
Skecos6331	K00058
Skecos6345	K12844
Skecos6362	K06215
Skecos6363	K15177
Skecos6367	K04646
Skecos6369	K01887
Skecos6378	K00111
Skecos6389	K01255
Skecos6394	K12586
Skecos6399	K14855
Skecos6401	K03978
Skecos6402	K05516
Skecos6412	K12603
Skecos6422	K09499
Skecos6423	K03014
Skecos6434	K12657
Skecos6435	K01883
Skecos6446	K03531
Skecos6449	K11099
Skecos6458	K03942
Skecos6462	K02518
Skecos6492	K11788
Skecos6493	K13109
Skecos6510	K01972
Skecos6520	K03249
Skecos6542	K15272
Skecos6545	K01527
Skecos6553	K02328
Skecos6561	K11314
Skecos6570	K08596
Skecos6574	K03019
Skecos6593	K00858
Skecos6604	K08596
Skecos6607	K14773
Skecos6648	K03439
Skecos6652	K01265
Skecos6657	K01427
Skecos6672	K10689
Skecos6673	K12483
Skecos6677	K01078
Skecos6683	K01889
Skecos6684	K12823
Skecos6687	K05292
Skecos6692	K03017
Skecos6697	K06671
Skecos6701	K18158
Skecos6702	K01201
Skecos6708	K03021
Skecos6710	K16055
Skecos6718	K13511
Skecos6733	K02991
Skecos6734	K02868
Skecos6749	K06269
Skecos6757	K09562
Skecos6768	K08869
Skecos6779	K06174
Skecos6784	K04078
Skecos6794	K12373
Skecos6799	K03404
Skecos6800	K12613
Skecos6806	K08592
Skecos6812	K13811
Skecos6820	K11086
Skecos6821	K03321
Skecos6822	K00510
Skecos6825	K01365
Skecos6833	K00215
Skecos6836	K07901
Skecos6850	K15026
Skecos6851	K12608
Skecos6855	K07942
Skecos6857	K15223
Skecos6867	K14850
Skecos6875	K05543
Skecos6879	K13800
Skecos6893	K03456
Skecos6924	K05695
Skecos6932	K17292
Skecos6933	K08515
Skecos6936	K03949
Skecos6945	K02879
Skecos6952	K00799
Skecos6968	K01694
Skecos6986	K08906
Skecos6987	K02326
Skecos6991	K00077
Skecos7007	K15448
Skecos7015	K07342
Skecos7033	K15272
Skecos7034	K00783
Skecos7050	K14972
Skecos7061	K18106
Skecos7062	K01611
Skecos7071	K03100
Skecos7077	K01340
Skecos7079	K11188
Skecos7095	K14293
Skecos7118	K00555
Skecos7129	K15692
Skecos7134	K08342
Skecos7141	K00913
Skecos7142	K09537
Skecos7144	K00326
Skecos7147	K13412
Skecos7149	K15178
Skecos7161	K07678
Skecos7166	K02866
Skecos7167	K10688
Skecos7176	K14319
Skecos7184	K03262
Skecos7187	K07208
Skecos7191	K02966
Skecos7201	K09458
Skecos7206	K12489
Skecos7209	K14834
Skecos7215	K12833
Skecos7223	K09838
Skecos7225	K02900
Skecos7234	K15731
Skecos7237	K15448
Skecos7238	K01915
Skecos7249	K10276
Skecos7253	K02739
Skecos7256	K01637
Skecos7259	K14559
Skecos7260	K13210
Skecos7262	K02976
Skecos7274	K03798
Skecos7276	K04567
Skecos7277	K03000
Skecos7284	K01915
Skecos7290	K09553
Skecos7291	K03243
Skecos7297	K00615
Skecos7303	K09497
Skecos7305	K11412
Skecos7308	K03437
Skecos7312	K11600
Skecos7321	K15279
Skecos7323	K13941
Skecos7336	K17496
Skecos7337	K11855
Skecos7338	K08098
Skecos7341	K06883
Skecos7343	K02867
Skecos7345	K10691
Skecos7350	K01764
Skecos7352	K16196
Skecos7354	K03132
Skecos7355	K03453
Skecos7358	K13628
Skecos7375	K11984
Skecos7378	K12386
Skecos7380	K16055
Skecos7381	K12501
Skecos7386	K03626
Skecos7390	K02958
Skecos7395	K01624
Skecos7396	K02377
Skecos7412	K03028
Skecos7417	K12855
Skecos7427	K01001
Skecos7442	K00507
Skecos7443	K12391
Skecos7445	K11364
Skecos7450	K05016
Skecos7452	K06158
Skecos7463	K00888
Skecos7465	K03015
Skecos7467	K00600
Skecos7474	K03062
Skecos7475	K05673
Skecos7477	K15029
Skecos7479	K14841
Skecos7482	K08269
Skecos7487	K03305
Skecos7490	K10866
Skecos7501	K01409
Skecos7524	K08490
Skecos7527	K11839
Skecos7537	K01738
Skecos7538	K13354
Skecos7545	K10735
Skecos7552	K08741
Skecos7553	K08576
Skecos7566	K09807
Skecos7568	K15289
Skecos7582	K02882
Skecos7583	K03539
Skecos7586	K03509
Skecos7587	K02540
Skecos7593	K13667
Skecos7606	K11718
Skecos7619	K01183
Skecos7620	K09660
Skecos7622	K13348
Skecos7623	K03349
Skecos7632	K07305
Skecos7639	K17601
Skecos7647	K10768
Skecos7648	K05539
Skecos7649	K07152
Skecos7650	K11547
Skecos7651	K05850
Skecos7658	K00948
Skecos7662	K15463
Skecos7666	K09391
Skecos7688	K02898
Skecos7695	K15371
Skecos7710	K10845
Skecos7715	K13205
Skecos7716	K03524
Skecos7718	K00939
Skecos7719	K03023
Skecos7730	K02548
Skecos7762	K00528
Skecos7763	K02951
Skecos7765	K00318
Skecos7783	K06911
Skecos7791	K01099
Skecos7792	K00898
Skecos7794	K11446
Skecos7800	K03256
Skecos7801	K02999
Skecos7805	K11886
Skecos7819	K03350
Skecos7824	K10534
Skecos7826	K01408
Skecos7833	K03574
Skecos7835	K04648
Skecos7836	K13960
Skecos7837	K00888
Skecos7840	K12818
Skecos7848	K07300
Skecos7850	K00586
Skecos7852	K14347
Skecos7853	K12400
Skecos7854	K00939
Skecos7856	K05542
Skecos7864	K08869
Skecos7870	K03320
Skecos7871	K01365
Skecos7872	K03869
Skecos7879	K11493
Skecos7883	K13348
Skecos7888	K02145
Skecos7909	K15305
Skecos7928	K02684
Skecos7940	K01119
Skecos7963	K13138
Skecos7967	K00869
Skecos7969	K06058
Skecos7974	K03070
Skecos7987	K15631
Skecos8000	K01897
Skecos8010	K13337
Skecos8017	K06252
Skecos8022	K01534
Skecos8030	K11412
Skecos8034	K06890
Skecos8036	K08737
Skecos8039	K14292
Skecos8040	K08967
Skecos8042	K01183
Skecos8046	K03016
Skecos8049	K15710
Skecos8076	K15441
Skecos8083	K07151
Skecos8087	K08498
Skecos8099	K00804
Skecos8104	K17868
Skecos8106	K15448
Skecos8114	K03797
Skecos8115	K09680
Skecos8116	K02877
Skecos8118	K01515
Skecos8120	K07304
Skecos8122	K12823
Skecos8123	K00939
Skecos8127	K03859
Skecos8131	K07442
Skecos8132	K02885
Skecos8137	K00888
Skecos8139	K08142
Skecos8145	K00993
Skecos8150	K12829
Skecos8152	K00472
Skecos8155	K04554
Skecos8156	K18183
Skecos8162	K00640
Skecos8169	K01078
Skecos8172	K03136
Skecos8173	K12863
Skecos8176	K00472
Skecos8178	K17805
Skecos8185	K01735
Skecos8191	K09531
Skecos8211	K15275
Skecos8238	K02732
Skecos8249	K02915
Skecos8254	K01595
Skecos8267	K02924
Skecos8272	K11292
Skecos8275	K03596
Skecos8289	K11885
Skecos8290	K10842
Skecos8293	K11438
Skecos8295	K02320
Skecos8297	K01535
Skecos8302	K08292
Skecos8303	K00995
Skecos8304	K10415
Skecos8307	K10144
Skecos8310	K00919
Skecos8320	K01850
Skecos8321	K01937
Skecos8324	K06316
Skecos8325	K03424
Skecos8337	K18270
Skecos8338	K08592
Skecos8385	K15463
Skecos8396	K03404
Skecos8399	K02735
Skecos8401	K00416
Skecos8402	K00760
Skecos8407	K05609
Skecos8409	K12836
Skecos8412	K03847
Skecos8421	K11426
Skecos8431	K02731
Skecos8441	K07019
Skecos8444	K14535
Skecos8450	K01537
Skecos8457	K01711
Skecos8459	K02210
Skecos8466	K15032
Skecos8468	K00273
Skecos8472	K01854
Skecos8488	K09611
Skecos8489	K14724
Skecos8496	K02356
Skecos8503	K03341
Skecos8509	K15284
Skecos8517	K15336
Skecos8518	K09498
Skecos8525	K17584
Skecos8529	K15281
Skecos8534	K04718
Skecos8536	K09595
Skecos8539	K07055
Skecos8540	K02883
Skecos8546	K12850
Skecos8549	K17981
Skecos8552	K11547
Skecos8566	K09595
Skecos8569	K01679
Skecos8570	K03348
Skecos8578	K12307
Skecos8581	K01934
Skecos8582	K10589
Skecos8588	K01254
