,nCpds,nGenes,Km0_cpd,Km0_gene,Km1_cpd,Km1_gene,Km2_cpd,Km2_gene,Km3_cpd,Km3_gene,Km4_cpd,Km4_gene,Km5_cpd,Km5_gene,pathwayInfo,pathwayGroup_A,pathwayGroup_B
ko00260,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Glycine, serine and threonine metabolism",Metabolism,Amino acid metabolism
ko00261,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Monobactam biosynthesis,Metabolism,Biosynthesis of other secondary metabolites
ko00270,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Cysteine and methionine metabolism,Metabolism,Amino acid metabolism
ko00280,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Valine, leucine and isoleucine degradation",Metabolism,Amino acid metabolism
ko00281,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Geraniol degradation,Metabolism,Metabolism of terpenoids and polyketides
ko00290,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Valine, leucine and isoleucine biosynthesis",Metabolism,Amino acid metabolism
ko00300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Lysine biosynthesis,Metabolism,Amino acid metabolism
ko00310,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Lysine degradation,Metabolism,Amino acid metabolism
ko00311,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Penicillin and cephalosporin biosynthesis,Metabolism,Biosynthesis of other secondary metabolites
ko00330,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Arginine and proline metabolism,Metabolism,Amino acid metabolism
ko00331,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Clavulanic acid biosynthesis,Metabolism,Biosynthesis of other secondary metabolites
ko00332,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Carbapenem biosynthesis,Metabolism,Biosynthesis of other secondary metabolites
ko00340,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Histidine metabolism,Metabolism,Amino acid metabolism
ko00350,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Tyrosine metabolism,Metabolism,Amino acid metabolism
ko00360,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Phenylalanine metabolism,Metabolism,Amino acid metabolism
ko00361,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Chlorocyclohexane and chlorobenzene degradation,Metabolism,Xenobiotics biodegradation and metabolism
ko00362,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Benzoate degradation,Metabolism,Xenobiotics biodegradation and metabolism
ko00363,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Bisphenol degradation,Metabolism,Xenobiotics biodegradation and metabolism
ko00364,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Fluorobenzoate degradation,Metabolism,Xenobiotics biodegradation and metabolism
ko00365,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Furfural degradation,Metabolism,Xenobiotics biodegradation and metabolism
ko00380,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Tryptophan metabolism,Metabolism,Amino acid metabolism
ko00400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Phenylalanine, tyrosine and tryptophan biosynthesis",Metabolism,Amino acid metabolism
ko00401,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Novobiocin biosynthesis,Metabolism,Biosynthesis of other secondary metabolites
ko00402,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Benzoxazinoid biosynthesis,Metabolism,Biosynthesis of other secondary metabolites
ko00403,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Indole diterpene alkaloid biosynthesis,Metabolism,Biosynthesis of other secondary metabolites
ko00410,0,0,0,0,0,0,0,0,0,0,0,0,0,0,beta-Alanine metabolism,Metabolism,Metabolism of other amino acids
ko00430,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Taurine and hypotaurine metabolism,Metabolism,Metabolism of other amino acids
ko00440,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Phosphonate and phosphinate metabolism,Metabolism,Metabolism of other amino acids
ko00450,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Selenocompound metabolism,Metabolism,Metabolism of other amino acids
ko00460,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Cyanoamino acid metabolism,Metabolism,Metabolism of other amino acids
ko00471,0,0,0,0,0,0,0,0,0,0,0,0,0,0,D-Glutamine and D-glutamate metabolism,Metabolism,Metabolism of other amino acids
ko00472,0,0,0,0,0,0,0,0,0,0,0,0,0,0,D-Arginine and D-ornithine metabolism,Metabolism,Metabolism of other amino acids
ko00473,0,0,0,0,0,0,0,0,0,0,0,0,0,0,D-Alanine metabolism,Metabolism,Metabolism of other amino acids
ko00480,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Glutathione metabolism,Metabolism,Metabolism of other amino acids
ko00500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Starch and sucrose metabolism,Metabolism,Carbohydrate metabolism
ko00510,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N-Glycan biosynthesis,Metabolism,Glycan biosynthesis and metabolism
ko00511,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Other glycan degradation,Metabolism,Glycan biosynthesis and metabolism
ko00512,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Mucin type O-Glycan biosynthesis,Metabolism,Glycan biosynthesis and metabolism
ko00513,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Various types of N-glycan biosynthesis,Metabolism,Glycan biosynthesis and metabolism
ko00514,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Other types of O-glycan biosynthesis,Metabolism,Glycan biosynthesis and metabolism
ko00520,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Amino sugar and nucleotide sugar metabolism,Metabolism,Carbohydrate metabolism
ko00521,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Streptomycin biosynthesis,Metabolism,Biosynthesis of other secondary metabolites
ko00522,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Biosynthesis of 12-, 14- and 16-membered macrolides",Metabolism,Metabolism of terpenoids and polyketides
ko00523,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Polyketide sugar unit biosynthesis,Metabolism,Metabolism of terpenoids and polyketides
ko00524,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Butirosin and neomycin biosynthesis,Metabolism,Biosynthesis of other secondary metabolites
ko00531,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Glycosaminoglycan degradation,Metabolism,Glycan biosynthesis and metabolism
ko00532,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Glycosaminoglycan biosynthesis - chondroitin sulfate / dermatan sulfate,Metabolism,Glycan biosynthesis and metabolism
ko00533,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Glycosaminoglycan biosynthesis - keratan sulfate,Metabolism,Glycan biosynthesis and metabolism
ko00534,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Glycosaminoglycan biosynthesis - heparan sulfate / heparin,Metabolism,Glycan biosynthesis and metabolism
ko00540,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Lipopolysaccharide biosynthesis,Metabolism,Glycan biosynthesis and metabolism
ko00550,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Peptidoglycan biosynthesis,Metabolism,Glycan biosynthesis and metabolism
ko00561,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Glycerolipid metabolism,Metabolism,Lipid metabolism
ko00562,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Inositol phosphate metabolism,Metabolism,Carbohydrate metabolism
ko00563,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Glycosylphosphatidylinositol(GPI)-anchor biosynthesis,Metabolism,Glycan biosynthesis and metabolism
ko00564,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Glycerophospholipid metabolism,Metabolism,Lipid metabolism
ko00565,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Ether lipid metabolism,Metabolism,Lipid metabolism
ko00590,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Arachidonic acid metabolism,Metabolism,Lipid metabolism
ko00591,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Linoleic acid metabolism,Metabolism,Lipid metabolism
ko00592,0,0,0,0,0,0,0,0,0,0,0,0,0,0,alpha-Linolenic acid metabolism,Metabolism,Lipid metabolism
ko00600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Sphingolipid metabolism,Metabolism,Lipid metabolism
ko00601,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Glycosphingolipid biosynthesis - lacto and neolacto series,Metabolism,Glycan biosynthesis and metabolism
ko00603,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Glycosphingolipid biosynthesis - globo series,Metabolism,Glycan biosynthesis and metabolism
ko00604,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Glycosphingolipid biosynthesis - ganglio series,Metabolism,Glycan biosynthesis and metabolism
ko00620,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Pyruvate metabolism,Metabolism,Carbohydrate metabolism
ko00621,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Dioxin degradation,Metabolism,Xenobiotics biodegradation and metabolism
ko00622,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Xylene degradation,Metabolism,Xenobiotics biodegradation and metabolism
ko00623,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Toluene degradation,Metabolism,Xenobiotics biodegradation and metabolism
ko00624,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Polycyclic aromatic hydrocarbon degradation,Metabolism,Xenobiotics biodegradation and metabolism
ko00625,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Chloroalkane and chloroalkene degradation,Metabolism,Xenobiotics biodegradation and metabolism
ko00626,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Naphthalene degradation,Metabolism,Xenobiotics biodegradation and metabolism
ko00627,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Aminobenzoate degradation,Metabolism,Xenobiotics biodegradation and metabolism
ko00630,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Glyoxylate and dicarboxylate metabolism,Metabolism,Carbohydrate metabolism
ko00633,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Nitrotoluene degradation,Metabolism,Xenobiotics biodegradation and metabolism
ko00640,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Propanoate metabolism,Metabolism,Carbohydrate metabolism
ko00642,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Ethylbenzene degradation,Metabolism,Xenobiotics biodegradation and metabolism
ko00643,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Styrene degradation,Metabolism,Xenobiotics biodegradation and metabolism
ko00650,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Butanoate metabolism,Metabolism,Carbohydrate metabolism
ko00660,0,0,0,0,0,0,0,0,0,0,0,0,0,0,C5-Branched dibasic acid metabolism,Metabolism,Carbohydrate metabolism
ko00670,0,0,0,0,0,0,0,0,0,0,0,0,0,0,One carbon pool by folate,Metabolism,Metabolism of cofactors and vitamins
ko00680,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Methane metabolism,Metabolism,Energy metabolism
ko00710,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Carbon fixation in photosynthetic organisms,Metabolism,Energy metabolism
ko00720,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Carbon fixation pathways in prokaryotes,Metabolism,Energy metabolism
ko00730,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Thiamine metabolism,Metabolism,Metabolism of cofactors and vitamins
ko00740,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Riboflavin metabolism,Metabolism,Metabolism of cofactors and vitamins
ko00750,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Vitamin B6 metabolism,Metabolism,Metabolism of cofactors and vitamins
ko00760,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Nicotinate and nicotinamide metabolism,Metabolism,Metabolism of cofactors and vitamins
ko00770,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Pantothenate and CoA biosynthesis,Metabolism,Metabolism of cofactors and vitamins
ko00780,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Biotin metabolism,Metabolism,Metabolism of cofactors and vitamins
ko00785,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Lipoic acid metabolism,Metabolism,Metabolism of cofactors and vitamins
ko00790,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Folate biosynthesis,Metabolism,Metabolism of cofactors and vitamins
ko00791,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Atrazine degradation,Metabolism,Xenobiotics biodegradation and metabolism
ko00830,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Retinol metabolism,Metabolism,Metabolism of cofactors and vitamins
ko00860,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Porphyrin and chlorophyll metabolism,Metabolism,Metabolism of cofactors and vitamins
ko00900,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Terpenoid backbone biosynthesis,Metabolism,Metabolism of terpenoids and polyketides
ko00901,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Indole alkaloid biosynthesis,Metabolism,Biosynthesis of other secondary metabolites
ko00902,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Monoterpenoid biosynthesis,Metabolism,Metabolism of terpenoids and polyketides
ko00903,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Limonene and pinene degradation,Metabolism,Metabolism of terpenoids and polyketides
ko00904,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Diterpenoid biosynthesis,Metabolism,Metabolism of terpenoids and polyketides
ko00905,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Brassinosteroid biosynthesis,Metabolism,Metabolism of terpenoids and polyketides
ko00906,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Carotenoid biosynthesis,Metabolism,Metabolism of terpenoids and polyketides
ko00908,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Zeatin biosynthesis,Metabolism,Metabolism of terpenoids and polyketides
ko00909,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Sesquiterpenoid and triterpenoid biosynthesis,Metabolism,Metabolism of terpenoids and polyketides
ko00910,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Nitrogen metabolism,Metabolism,Energy metabolism
ko00920,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Sulfur metabolism,Metabolism,Energy metabolism
ko00930,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Caprolactam degradation,Metabolism,Xenobiotics biodegradation and metabolism
ko00940,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Phenylpropanoid biosynthesis,Metabolism,Biosynthesis of other secondary metabolites
ko00941,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Flavonoid biosynthesis,Metabolism,Biosynthesis of other secondary metabolites
ko00942,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Anthocyanin biosynthesis,Metabolism,Biosynthesis of other secondary metabolites
ko00943,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Isoflavonoid biosynthesis,Metabolism,Biosynthesis of other secondary metabolites
ko00944,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Flavone and flavonol biosynthesis,Metabolism,Biosynthesis of other secondary metabolites
ko00945,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Stilbenoid, diarylheptanoid and gingerol biosynthesis",Metabolism,Biosynthesis of other secondary metabolites
ko00950,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Isoquinoline alkaloid biosynthesis,Metabolism,Biosynthesis of other secondary metabolites
ko00960,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Tropane, piperidine and pyridine alkaloid biosynthesis",Metabolism,Biosynthesis of other secondary metabolites
ko00965,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Betalain biosynthesis,Metabolism,Biosynthesis of other secondary metabolites
ko00966,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Glucosinolate biosynthesis,Metabolism,Biosynthesis of other secondary metabolites
ko00970,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Aminoacyl-tRNA biosynthesis,Genetic Information Processing,Translation
ko00980,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Metabolism of xenobiotics by cytochrome P450,Metabolism,Xenobiotics biodegradation and metabolism
ko00981,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Insect hormone biosynthesis,Metabolism,Metabolism of terpenoids and polyketides
ko00982,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Drug metabolism - cytochrome P450,Metabolism,Xenobiotics biodegradation and metabolism
ko00983,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Drug metabolism - other enzymes,Metabolism,Xenobiotics biodegradation and metabolism
ko00984,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Steroid degradation,Metabolism,Xenobiotics biodegradation and metabolism
ko01040,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Biosynthesis of unsaturated fatty acids,Metabolism,Lipid metabolism
ko01051,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Biosynthesis of ansamycins,Metabolism,Metabolism of terpenoids and polyketides
ko01052,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Type I polyketide structures,Metabolism,Metabolism of terpenoids and polyketides
ko01053,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Biosynthesis of siderophore group nonribosomal peptides,Metabolism,Metabolism of terpenoids and polyketides
ko01054,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Nonribosomal peptide structures,Metabolism,Metabolism of terpenoids and polyketides
ko01055,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Biosynthesis of vancomycin group antibiotics,Metabolism,Metabolism of terpenoids and polyketides
ko01056,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Biosynthesis of type II polyketide backbone,Metabolism,Metabolism of terpenoids and polyketides
ko01057,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Biosynthesis of type II polyketide products,Metabolism,Metabolism of terpenoids and polyketides
ko01058,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Acridone alkaloid biosynthesis,Metabolism,Biosynthesis of other secondary metabolites
ko01100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Metabolic pathways,Metabolism,Global and overview maps
ko01110,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Biosynthesis of secondary metabolites,Metabolism,Global and overview maps
ko01120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Microbial metabolism in diverse environments,Metabolism,Global and overview maps
ko01130,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Biosynthesis of antibiotics,Metabolism,Global and overview maps
ko01200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Carbon metabolism,Metabolism,Global and overview maps
ko01210,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2-Oxocarboxylic acid metabolism,Metabolism,Global and overview maps
ko01212,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Fatty acid metabolism,Metabolism,Global and overview maps
ko01220,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Degradation of aromatic compounds,Metabolism,Global and overview maps
ko01230,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Biosynthesis of amino acids,Metabolism,Global and overview maps
ko01501,0,0,0,0,0,0,0,0,0,0,0,0,0,0,beta-Lactam resistance,Human Diseases,Drug resistance
ko01502,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Vancomycin resistance,Human Diseases,Drug resistance
ko01503,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Cationic antimicrobial peptide (CAMP) resistance,Human Diseases,Drug resistance
ko02010,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ABC transporters,Environmental Information Processing,Membrane transport
ko02020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Two-component system,Environmental Information Processing,Signal transduction
ko02030,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Bacterial chemotaxis,Cellular Processes,Cell motility
ko02040,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Flagellar assembly,Cellular Processes,Cell motility
ko02060,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Phosphotransferase system (PTS),Environmental Information Processing,Membrane transport
ko03008,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Ribosome biogenesis in eukaryotes,Genetic Information Processing,Translation
ko03010,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Ribosome,Genetic Information Processing,Translation
ko03013,0,0,0,0,0,0,0,0,0,0,0,0,0,0,RNA transport,Genetic Information Processing,Translation
ko03015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,mRNA surveillance pathway,Genetic Information Processing,Translation
ko03018,0,0,0,0,0,0,0,0,0,0,0,0,0,0,RNA degradation,Genetic Information Processing,"Folding, sorting and degradation"
ko03020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,RNA polymerase,Genetic Information Processing,Transcription
ko03022,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Basal transcription factors,Genetic Information Processing,Transcription
ko03030,0,0,0,0,0,0,0,0,0,0,0,0,0,0,DNA replication,Genetic Information Processing,Replication and repair
ko03040,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Spliceosome,Genetic Information Processing,Transcription
ko03050,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Proteasome,Genetic Information Processing,"Folding, sorting and degradation"
ko03060,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Protein export,Genetic Information Processing,"Folding, sorting and degradation"
ko03070,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Bacterial secretion system,Environmental Information Processing,Membrane transport
ko03320,0,0,0,0,0,0,0,0,0,0,0,0,0,0,PPAR signaling pathway,Organismal Systems,Endocrine system
ko03410,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Base excision repair,Genetic Information Processing,Replication and repair
ko03420,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Nucleotide excision repair,Genetic Information Processing,Replication and repair
ko03430,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Mismatch repair,Genetic Information Processing,Replication and repair
ko03440,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Homologous recombination,Genetic Information Processing,Replication and repair
ko03450,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Non-homologous end-joining,Genetic Information Processing,Replication and repair
ko03460,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Fanconi anemia pathway,Genetic Information Processing,Replication and repair
ko04010,0,0,0,0,0,0,0,0,0,0,0,0,0,0,MAPK signaling pathway,Environmental Information Processing,Signal transduction
ko04011,0,0,0,0,0,0,0,0,0,0,0,0,0,0,MAPK signaling pathway - yeast,Environmental Information Processing,Signal transduction
ko04012,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ErbB signaling pathway,Environmental Information Processing,Signal transduction
ko04013,0,0,0,0,0,0,0,0,0,0,0,0,0,0,MAPK signaling pathway - fly,Environmental Information Processing,Signal transduction
ko04014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Ras signaling pathway,Environmental Information Processing,Signal transduction
ko04015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Rap1 signaling pathway,Environmental Information Processing,Signal transduction
ko04020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Calcium signaling pathway,Environmental Information Processing,Signal transduction
ko04022,0,0,0,0,0,0,0,0,0,0,0,0,0,0,cGMP-PKG signaling pathway,Environmental Information Processing,Signal transduction
ko04024,0,0,0,0,0,0,0,0,0,0,0,0,0,0,cAMP signaling pathway,Environmental Information Processing,Signal transduction
ko04060,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Cytokine-cytokine receptor interaction,Environmental Information Processing,Signaling molecules and interaction
ko04062,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Chemokine signaling pathway,Organismal Systems,Immune system
ko04064,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NF-kappa B signaling pathway,Environmental Information Processing,Signal transduction
ko04066,0,0,0,0,0,0,0,0,0,0,0,0,0,0,HIF-1 signaling pathway,Environmental Information Processing,Signal transduction
ko04068,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FoxO signaling pathway,Environmental Information Processing,Signal transduction
